RES,ORD,P,SP,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,PN,avLI,RE24,WPA,PLAYER,TEAM,YEAR,B,GPA,BB/K,ISOP,XBH
6.0,6,3B,9.0,36.0,8.0,14.0,2.0,1.0,0.0,18.0,5.0,1.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.258,0.391,0.337,0.728,21.667,1.172,0.173,0.013,황재균,KT,2021.0,11.0,0.26,0.714,0.079,3.0
2.0,2,3B,9.0,37.0,8.0,12.0,1.0,1.0,0.0,15.0,2.0,3.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.319,0.415,0.411,0.826,16.111,0.833,-0.26,-0.028,황재균,KT,2021.0,10.0,0.289,0.667,0.092,2.0
5.0,2,3B,9.0,32.0,7.0,10.0,1.0,0.0,3.0,20.0,7.0,0.0,2.0,5.0,0.0,0.0,6.0,1.0,0.0,0.0,0.317,0.407,0.434,0.841,18.0,0.961,0.322,0.031,황재균,KT,2021.0,6.0,0.291,0.833,0.117,4.0
8.0,2,3B,9.0,34.0,5.0,10.0,1.0,0.0,2.0,17.0,11.0,1.0,1.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,0.309,0.399,0.454,0.852,18.0,1.114,0.439,-0.006,황재균,KT,2021.0,7.0,0.293,0.5,0.145,3.0
5.0,2,3B,8.0,32.0,8.0,11.0,1.0,0.0,1.0,15.0,6.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.313,0.392,0.47,0.862,15.0,0.866,0.474,0.041,황재균,KT,2021.0,9.0,0.294,0.2,0.157,2.0
6.0,9,SS,9.0,28.0,6.0,6.0,3.0,0.0,1.0,12.0,6.0,2.0,1.0,8.0,0.0,0.0,6.0,1.0,0.0,1.0,0.184,0.413,0.335,0.748,16.222,0.867,0.412,0.061,오지환,LG,2021.0,2.0,0.27,1.333,0.151,4.0
5.0,9,SS,9.0,28.0,3.0,5.0,1.0,0.0,0.0,6.0,4.0,1.0,0.0,5.0,1.0,0.0,9.0,0.0,1.0,1.0,0.193,0.354,0.351,0.705,16.556,1.133,-0.003,-0.024,오지환,LG,2021.0,4.0,0.247,0.556,0.158,1.0
4.0,2,SS,9.0,36.0,4.0,9.0,1.0,0.0,1.0,13.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,0.199,0.348,0.336,0.684,17.667,1.162,-0.084,-0.02,오지환,LG,2021.0,7.0,0.241,1.0,0.137,2.0
6.0,2,SS,9.0,39.0,3.0,13.0,1.0,0.0,0.0,14.0,4.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,0.0,0.218,0.331,0.319,0.651,18.222,0.912,-0.144,-0.004,오지환,LG,2021.0,12.0,0.229,0.143,0.102,1.0
6.0,2,SS,9.0,29.0,2.0,3.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,1.0,0.0,0.225,0.336,0.32,0.655,14.889,0.933,-0.191,-0.031,오지환,LG,2021.0,1.0,0.231,0.8,0.094,2.0
